Year,riders new,city,station
2018,"5,034",Granby,Granby
2018,"5,032",Gainesville,"Gainesville, GA"
2018,"4,999",Rantoul,Rantoul
2018,"4,979",Dowagiac,Dowagiac
2018,"4,958",Libby,Libby
2018,"4,891",West Glacier,West Glacier
2018,"4,877",Detroit Lakes,Detroit Lakes
2018,"4,795",McComb,McComb
2018,"4,654",Dunsmuir,Dunsmuir
2018,"4,640",Poplar Bluff,Poplar Bluff
2018,"4,629",Las Vegas,Las Vegas
2018,"4,540",Winnemucca,Winnemucca
2018,"4,501",Alliance,Alliance
2018,"4,462",Bellows Falls,Bellows Falls
2018,"4,459",Yuma,Yuma
2018,"4,447",Wolf Point,Wolf Point
2018,"4,441",Ontario,Ontario
2018,"4,415",Hutchinson,Hutchinson
2018,"4,407",Connellsville,Connellsville
2018,"4,345",Winslow,Winslow
2018,"4,297",Stanley,Stanley
2018,"4,217",Devils Lake,Devils Lake
2018,"4,180",Bangor,Bangor
2018,"4,102",Rugby,Rugby
2018,"4,068",Latrobe,Latrobe
2018,"4,065",Pauls Valley,Pauls Valley
2018,"4,028",Brookhaven,Brookhaven
2018,"4,005",Hamlet,Hamlet
2018,"3,988",Okeechobee,Okeechobee
2018,"3,942",Castleton,Castleton
2018,"3,929",Cleburne,Cleburne
2018,"3,924",Laurel,Laurel
2018,"3,870",Spartanburg,Spartanburg
2018,"3,833",Anniston,Anniston
2018,"3,782",Lake Charles,Lake Charles
2018,"3,747",Creston,Creston
2018,"3,726",St. Albans,St. Albans
2018,"3,673",Cornwells Heights,Cornwells Heights
2018,"3,641",Beaumont,Beaumont
2018,"3,576",Newbern,Newbern
2018,"3,570",Malta,Malta
2018,"3,503",Ephrata,Ephrata
2018,"3,445",Fort Morgan,Fort Morgan
2018,"3,439",Fulton,Fulton
2018,"3,421",Walnut Ridge,Walnut Ridge
2018,"3,400",Barstow,Barstow
2018,"3,286",Essex,Essex
2018,"3,284",Michigan City,Michigan City
2018,"3,282",McCook,McCook
2018,"3,272",Bingen-White Salmon,Bingen/White Salmon
2018,"3,230",Denmark,Denmark
2018,"3,198",Dyer,Dyer
2018,"3,195",Yazoo City,Yazoo City
2018,"3,161",Camden,Camden
2018,"2,925",North Palm Springs,North Palm Springs
2018,"2,826",Tyrone,Tyrone
2018,"2,605",Green River,Green River
2018,"2,603",Port Henry,Port Henry
2018,"2,542",Claremont,Claremont
2018,"2,396",Cut Bank,Cut Bank
2018,"2,324",Toccoa,Toccoa
2018,"2,317",Gilman,Gilman
2018,"2,261",Helper,Helper
2018,"2,225",Holdrege,Holdrege
2018,"2,162",Prince,Prince
2018,"2,119",Picayune,Picayune
2018,"2,032",Williams Junction,Williams Junction
2018,"2,024",Maysville,Maysville
2018,"2,011",Albion,Albion
2018,"1,961",Framingham,Framingham
2018,"1,951",Clifton Forge,Clifton Forge
2018,"1,939",Benson,Benson
2018,"1,842",Randolph,Randolph
2018,"1,816",Rensselaer,Rensselaer
2018,"1,807",Ticonderoga,Ticonderoga
2018,"1,748",Whitehall,Whitehall
2018,"1,695",Del Rio,Del Rio
2018,"1,693",Malvern,Malvern
2018,"1,635",Purcell,Purcell
2018,"1,602",New Iberia,New Iberia
2018,"1,588",Lamar,Lamar
