,Year,Ridership,city
0,2012,19926.0,Burlington
1,2013,20045.0,Burlington
2,2014,21400.0,Burlington
3,2015,21022.0,Burlington
4,2016,18628.0,Burlington
5,2017,19564.0,Burlington
6,2018,20390.0,Burlington
0,2012,19926.0,Burlington
1,2013,20045.0,Burlington
2,2014,21400.0,Burlington
3,2015,21022.0,Burlington
4,2016,18628.0,Burlington
5,2017,19564.0,Burlington
6,2018,20390.0,Burlington
0,2012,37393.0,Camarillo
1,2013,39634.0,Camarillo
2,2014,42919.0,Camarillo
3,2015,45959.0,Camarillo
4,2016,46319.0,Camarillo
5,2017,48599.0,Camarillo
6,2018,54868.0,Camarillo
0,2012,3699.0,Camden
1,2013,3584.0,Camden
2,2014,3264.0,Camden
3,2015,3563.0,Camden
4,2016,3483.0,Camden
5,2017,3531.0,Camden
6,2018,3161.0,Camden
0,2012,137.4,Carbondale
1,2013,132.8,Carbondale
2,2014,127.2,Carbondale
3,2015,116.5,Carbondale
4,2016,100.2,Carbondale
5,2017,99.2,Carbondale
6,2018,89.9,Carbondale
0,2012,10557.0,Carlinville
1,2013,13417.0,Carlinville
2,2014,11295.0,Carlinville
3,2015,9626.0,Carlinville
4,2016,10138.0,Carlinville
5,2017,10062.0,Carlinville
6,2018,12089.0,Carlinville
0,2012,Partial Data,Carlsbad - Poinsettia
1,2013,Partial Data,Carlsbad - Poinsettia
2,2014,Partial Data,Carlsbad - Poinsettia
3,2015,Partial Data,Carlsbad - Poinsettia
4,2016,Partial Data,Carlsbad - Poinsettia
5,2017,Partial Data,Carlsbad - Poinsettia
6,2018,Partial Data,Carlsbad - Poinsettia
0,2012,Partial Data,Carlsbad - Village
1,2013,Partial Data,Carlsbad - Village
2,2014,Partial Data,Carlsbad - Village
3,2015,Partial Data,Carlsbad - Village
4,2016,Partial Data,Carlsbad - Village
5,2017,Partial Data,Carlsbad - Village
6,2018,Partial Data,Carlsbad - Village
0,2012,20587.0,Carpinteria
1,2013,25496.0,Carpinteria
2,2014,28625.0,Carpinteria
3,2015,29457.0,Carpinteria
4,2016,30762.0,Carpinteria
5,2017,32692.0,Carpinteria
6,2018,50278.0,Carpinteria
0,2012,77875.0,Cary
1,2013,88183.0,Cary
2,2014,87174.0,Cary
3,2015,88184.0,Cary
4,2016,84362.0,Cary
5,2017,80851.0,Cary
6,2018,81534.0,Cary
0,2012,3649.0,Castleton
1,2013,4211.0,Castleton
2,2014,4404.0,Castleton
3,2015,4587.0,Castleton
4,2016,4452.0,Castleton
5,2017,4116.0,Castleton
6,2018,3942.0,Castleton
0,2012,23331.0,Centralia
1,2013,25132.0,Centralia
2,2014,25511.0,Centralia
3,2015,24791.0,Centralia
4,2016,25871.0,Centralia
5,2017,25178.0,Centralia
6,2018,28218.0,Centralia
0,2012,23331.0,Centralia
1,2013,25132.0,Centralia
2,2014,25511.0,Centralia
3,2015,24791.0,Centralia
4,2016,25871.0,Centralia
5,2017,25178.0,Centralia
6,2018,28218.0,Centralia
0,2012,169.9,Champaign-Urbana
1,2013,186.1,Champaign-Urbana
2,2014,175.6,Champaign-Urbana
3,2015,170.9,Champaign-Urbana
4,2016,159.6,Champaign-Urbana
5,2017,156.2,Champaign-Urbana
6,2018,153.5,Champaign-Urbana
0,2012,9619.0,Charleston
1,2013,9834.0,Charleston
2,2014,9525.0,Charleston
3,2015,9770.0,Charleston
4,2016,9706.0,Charleston
5,2017,9749.0,Charleston
6,2018,11203.0,Charleston
0,2012,9619.0,Charleston
1,2013,9834.0,Charleston
2,2014,9525.0,Charleston
3,2015,9770.0,Charleston
4,2016,9706.0,Charleston
5,2017,9749.0,Charleston
6,2018,11203.0,Charleston
0,2012,187.3,Charlotte
1,2013,194.9,Charlotte
2,2014,189.2,Charlotte
3,2015,181.8,Charlotte
4,2016,171.6,Charlotte
5,2017,164.1,Charlotte
6,2018,169.0,Charlotte
0,2012,124.5,Charlottesville
1,2013,128.3,Charlottesville
2,2014,129.5,Charlottesville
3,2015,132.6,Charlottesville
4,2016,135.9,Charlottesville
5,2017,141.2,Charlottesville
6,2018,131.4,Charlottesville
0,2012,52543.0,Chatsworth
1,2013,56493.0,Chatsworth
2,2014,59075.0,Chatsworth
3,2015,61847.0,Chatsworth
4,2016,61089.0,Chatsworth
5,2017,62925.0,Chatsworth
6,2018,64063.0,Chatsworth
0,2012,10304.0,Chemult
1,2013,10144.0,Chemult
2,2014,9839.0,Chemult
3,2015,9821.0,Chemult
4,2016,10387.0,Chemult
5,2017,10457.0,Chemult
6,2018,9199.0,Chemult
0,2012,3408.3,Chicago - Union Station
1,2013,3437.7,Chicago - Union Station
2,2014,3311.3,Chicago - Union Station
3,2015,3247.4,Chicago - Union Station
4,2016,3191.0,Chicago - Union Station
5,2017,3321.2,Chicago - Union Station
6,2018,3293.6,Chicago - Union Station
0,2012,11009.0,Chico
1,2013,12875.0,Chico
2,2014,13125.0,Chico
3,2015,13736.0,Chico
4,2016,13144.0,Chico
5,2017,12154.0,Chico
6,2018,10414.0,Chico
0,2012,N/A,Chipley
1,2013,N/A,Chipley
2,2014,N/A,Chipley
3,2015,N/A,Chipley
